quote_date,240020_Nav,519069_Nav,460005_Nav,161005_Nav,166005_Nav,163412_Nav,002001_Nav
2018-06-26,2.1950,3.8990,3.3846,4.7212,2.6581,4.0680,4.4660
2018-06-25,2.1950,3.9110,3.3757,4.7244,2.6788,4.0760,4.4760
2018-06-22,2.1890,3.9230,3.3772,4.7434,2.6931,4.1120,4.4820
2018-06-21,2.1760,3.9080,3.3433,4.7279,2.6748,4.0950,4.4730
2018-06-20,2.1840,3.9320,3.3766,4.7558,2.6968,4.1460,4.4850
2018-06-19,2.1410,3.9040,3.3221,4.7225,2.6655,4.1560,4.4550
2018-06-15,2.2070,3.9780,3.4466,4.8100,2.7427,4.2490,4.4960
2018-06-14,2.2320,3.9900,3.4842,4.8425,2.7578,4.2580,4.5010
2018-06-13,2.2350,4.0090,3.5034,4.8563,2.7590,4.2690,4.5140
2018-06-12,2.2680,4.0290,3.5354,4.8817,2.7803,4.2870,4.5250
2018-06-11,2.2330,4.0080,3.4868,4.8424,2.7365,4.2440,4.4990
2018-06-08,2.2830,4.0230,3.5305,4.8728,2.7520,4.2520,4.4990
2018-06-07,2.2880,4.0420,3.5441,4.8802,2.7731,4.2840,4.5090
2018-06-06,2.3150,4.0500,3.5675,4.8995,2.7776,4.2920,4.5140
2018-06-05,2.2980,4.0580,3.5449,4.8860,2.7832,4.2860,4.5150
2018-06-04,2.2480,4.0140,3.4867,4.8380,2.7555,4.2380,4.4980
2018-06-01,2.2500,3.9890,3.4773,4.8207,2.7396,4.2180,4.4750
2018-05-31,2.3110,4.0470,3.5426,4.8585,2.7643,4.2580,4.4930
2018-05-30,2.2700,3.9770,3.4864,4.8181,2.7180,4.2080,4.4650
2018-05-29,2.2850,4.0230,3.5162,4.8414,2.7373,4.2440,4.4710
2018-05-28,2.3600,4.0650,3.5669,4.8957,2.7608,4.2570,4.4850
2018-05-25,2.3310,4.0430,3.5577,4.8932,2.7370,4.2430,4.4670
2018-05-24,2.3130,4.0520,3.5742,4.9081,2.7309,4.2660,4.4670
2018-05-23,2.3060,4.0650,3.5796,4.9128,2.7355,4.2900,4.4830
2018-05-22,2.3110,4.0880,3.6048,4.9403,2.7534,4.3480,4.4980
2018-05-21,2.2760,4.0710,3.5790,4.9299,2.7478,4.3690,4.4970
2018-05-18,2.2680,4.0490,3.5497,4.9014,2.7390,4.3450,4.4960
2018-05-17,2.2600,4.0250,3.5414,4.8887,2.7176,4.3060,4.4880
2018-05-16,2.2960,4.0310,3.5739,4.9128,2.7387,4.3390,4.5070
2018-05-15,2.2780,4.0390,3.5740,4.9196,2.7357,4.3690,4.5110
2018-05-14,2.2510,4.0040,3.5387,4.8807,2.7145,4.3450,4.5030
2018-05-11,2.2410,3.9830,3.5219,4.8751,2.7039,4.3100,4.4870
2018-05-10,2.2850,3.9970,3.5553,4.9007,2.7242,4.3370,4.4980
2018-05-09,2.2530,3.9760,3.5443,4.8866,2.7059,4.3200,4.4820
2018-05-08,2.2620,3.9820,3.5472,4.8872,2.6996,4.3180,4.4850
2018-05-07,2.2730,3.9700,3.5415,4.8746,2.6845,4.2790,4.4730
2018-05-04,2.2280,3.9420,3.4806,4.8415,2.6439,4.2320,4.4380
2018-05-03,2.1980,3.9310,3.4728,4.8376,2.6350,4.2350,4.4400
2018-05-02,2.1920,3.9230,3.4611,4.8133,2.6231,4.1900,4.4210
2018-04-27,2.1750,3.9030,3.4388,4.8001,2.5994,4.1690,4.4140
2018-04-26,2.1540,3.8730,3.4178,4.7934,2.5897,4.1290,4.4150
2018-04-25,2.1850,3.9110,3.4543,4.8449,2.6195,4.1810,4.4420
2018-04-24,2.1430,3.8770,3.4163,4.8254,2.6198,4.1710,4.4420
2018-04-23,2.1040,3.8170,3.3412,4.7594,2.5767,4.0920,4.4120
2018-04-20,2.1210,3.8300,3.3832,4.7836,2.5867,4.1150,4.4180
2018-04-19,2.1350,3.8490,3.4284,4.8201,2.6199,4.1680,4.4280
