000001,quote_date,000012,000013,000016,000300,000903,000905,399001,399006,AXJO,DJI,FCHI,GDAXI,GSPC,GSPTSE,IPSA,IXIC,KS11,MICEXINDEXCF.ME,N225,NYA,RUT,TWII,VIX,XAX
2835.88,2018-06-26,165.2,218.29,2497.62,3520.17,3625.89,5151.34,9318.51,1562.97,6191.0,,,,,,,,2338.17993164,,22221.3300781,,,10701.9199219,,
2859.34,2018-06-25,165.17,218.28,2536.46,3560.48,3678.62,5125.03,9324.83,1538.56,6210.39990234,24252.8007812,5283.85986328,12270.3300781,2717.07006836,16184.0,5285.52978516,7532.00976562,2357.87988281,2236.64990234,22338.1503906,12481.5996094,1657.51000977,10786.4599609,17.3299999237,2720.0300293
2889.76,2018-06-22,165.08,218.2,2583.71,3608.9,3737.84,5160.12,9409.95,1549.66,6225.20019531,24580.890625,5387.37988281,12579.7197266,2754.87988281,16450.0996094,5375.12011719,7692.81982422,2357.2199707,2249.67993164,22516.8300781,12639.5703125,1685.57995605,10899.2802734,13.7700004578,2773.52001953
2875.81,2018-06-21,165.07,218.16,2579.05,3592.97,3735.29,5089.25,9316.68,1521.68,6232.10009766,24461.6992188,5316.00976562,12511.9101562,2749.76000977,16335.2001953,5385.47998047,7712.95019531,2337.83007812,2245.93994141,22693.0390625,12560.2304688,1688.94995117,10941.0703125,14.6400003433,2721.87011719
2915.73,2018-06-20,164.98,218.14,2598.33,3635.44,3768.49,5198.39,9501.34,1563.79,6172.60009766,24657.8007812,5372.31005859,12695.1601562,2767.32006836,16421.0,5417.52978516,7781.50976562,2363.90991211,2256.27001953,22555.4296875,12648.7402344,1706.98999023,10927.4404297,12.7899999619,2741.35009766
2907.82,2018-06-19,164.92,218.13,2599.78,3621.12,3761.53,5141.71,9414.76,1547.15,6102.10009766,24700.2109375,5390.62988281,12677.9697266,2762.59008789,16316.5,5435.08007812,7725.58984375,2340.11010742,2221.41992188,22278.4804688,12638.9804688,1693.44995117,10904.1904297,13.3500003815,2717.20996094
3021.9,2018-06-15,164.83,218.01,2667.98,3753.43,3872.6,5483.94,9943.13,1641.66,6094.0,25090.4804688,5501.87988281,13010.5498047,2779.65991211,16314.4003906,5470.31982422,7746.37988281,2404.04003906,2237.5300293,22851.75,12734.6396484,1683.91003418,11087.4697266,11.9799995422,2724.87011719
3044.16,2018-06-14,164.84,217.99,2671.3,3773.37,3880.75,5586.93,10084.18,1673.32,6016.60009766,25175.3105469,5528.45996094,13107.0996094,2782.48999023,16329.0,5524.68994141,7761.04003906,2423.47998047,2253.47998047,22738.609375,12771.9501953,1684.7199707,11013.9804688,12.1199998856,2732.35009766
3049.8,2018-06-13,164.79,217.96,2671.63,3788.34,3895.15,5607.02,10161.65,1685.89,6023.5,25201.1992188,5452.72998047,12890.5800781,2775.62988281,16265.7998047,5534.27001953,7695.70019531,,2270.72998047,22966.3808594,12785.4501953,1676.54003906,11173.2099609,12.9399995804,2722.77001953
3079.8,2018-06-12,164.78,217.92,2687.7,3825.95,3925.9,5693.35,10315.28,1712.77,6054.39990234,25320.7304688,5453.37011719,12842.2998047,2786.85009766,16289.0,5544.02978516,7703.79003906,2468.83007812,,22878.3496094,12844.7099609,1682.30004883,11144.7900391,12.3400001526,2722.13989258
3052.78,2018-06-11,164.79,217.9,2660.41,3779.98,3875.79,5632.36,10175.35,1688.62,,25322.3105469,5473.91015625,12842.9101562,2782.0,16263.2998047,5521.35009766,7659.93017578,2470.14990234,2271.73999023,22804.0390625,12856.9599609,1674.68005371,11149.2304688,12.3500003815,2743.41992188
3067.15,2018-06-08,164.74,217.83,2652.08,3779.62,3863.9,5669.3,10205.52,1711.52,6045.20019531,25316.5292969,5450.22021484,12766.5498047,2779.0300293,16202.7001953,5523.02978516,7645.50976562,2451.58007812,2267.91992188,22694.5,12832.0703125,1672.48999023,11156.4199219,12.1800003052,2727.66992188
3109.5,2018-06-07,164.71,217.8,2695.24,3831.01,3919.85,5738.02,10313.85,1730.38,6057.29980469,25241.4101562,5448.35986328,12811.0498047,2770.37011719,16192.7998047,5467.87011719,7635.06982422,2470.58007812,2316.07006836,22823.2597656,12788.5,1667.77001953,11251.75,12.1300001144,2735.87988281
3115.18,2018-06-06,164.71,217.8,2692.18,3837.35,3920.84,5774.26,10365.13,1743.25,6025.10009766,25146.390625,5457.56005859,12830.0703125,2772.35009766,16183.9003906,5497.33007812,7689.24023438,,2315.44995117,22625.7304688,12778.2304688,1675.94995117,11201.8300781,11.6400003433,2708.85009766
3114.21,2018-06-05,164.68,217.79,2707.02,3845.32,3934.23,5779.08,10385.61,1746.11,5994.89990234,24799.9804688,5460.95019531,12787.1298828,2748.80004883,16122.2998047,5523.04980469,7637.85986328,2453.76000977,2318.22998047,22539.5390625,12658.7001953,1664.63000488,11100.1103516,12.3999996185,2725.65991211
3091.19,2018-06-04,164.69,217.77,2694.58,3807.58,3903.45,5683.15,10204.32,1702.93,6025.5,24813.6894531,5472.91015625,12770.75,2746.87011719,16052.2001953,5558.5,7606.45996094,2447.76000977,2323.63989258,22475.9394531,12673.9101562,1653.36999512,11109.5,12.7399997711,2732.93994141
3075.14,2018-06-01,164.73,217.69,2647.19,3770.59,3838.31,5685.12,10169.35,1709.55,5990.39990234,24635.2109375,5465.52978516,12724.2695312,2734.62011719,16043.5,5471.31982422,7554.33007812,2438.95996094,2295.34008789,22171.3496094,12620.8300781,1647.97998047,10949.0800781,13.4600000381,2756.10009766
3095.47,2018-05-31,164.7,217.65,2658.29,3802.38,3860.97,5754.47,10295.73,1743.74,6011.89990234,24415.8398438,5398.39990234,12604.8896484,2705.27001953,16061.5,5455.08984375,7442.12011719,2423.01000977,2302.87988281,22201.8203125,12527.1396484,1633.60998535,10874.9599609,15.4300003052,2751.80004883
